time,tr_fluxo_compra,page,tr_fluxo_navegacao 
30,27263.236,504.34123529411767,27666.201999999997 
40,0,397.621696969697,15928.369833333332 
50,41115.113,593.5347948717948,16038.719000000003 
60,28966.058,562.9310454545455,22667.693333333333 
70,0,711.0773508771931,24860.073666666667 
80,0,476.1420521739128,20355.963833333335 
90,0,519.3040227272728,16942.916333333338 
100,29335.4346,501.5041075268818,18588.412533333336 
110,34827.13966666666,405.8947600000003,23730.50433333333 
120,45351.309125,744.2717083333335,0 
130,47851.674999999996,751.0271875,0 
140,58849.97433333334,639.0196666666667,0 
142,0,0,0 
