time,request,connect 
0,570.2934019209154,238.5128957189154 
10,837.4267792644989,2.999500000000012 
20,624.7413955903061,21.037699332091883 
30,418.4785740442048,21.531376526729606 
40,467.2615951640022,12.13329603559972 
50,556.8324426255609,11.05585529210651 
60,636.1858893107976,19.73866856705385 
70,616.9443357683701,18.75595561070531 
80,571.0582941432898,19.34550471207968 
90,513.8003611798634,0 
100,557.5489426653108,0 
110,465.3037581350191,0 
120,106.88040065211001,0 
130,78.4665812191548,0 
137,117.74523100745948,0 
